,name,artists,on_billboard_chart,billboard_year,billboard_year_end_rank
0,Mr. Brightside,The Killers,False,,
1,Umbrella,Rihanna,False,,
2,Wannabe,Spice Girls,False,,
3,I Want It That Way,Backstreet Boys,False,,
4,Livin' On A Prayer,Bon Jovi,True,1987,10.0
5,Just the Way You Are,Bruno Mars,True,2010,18.0
6,Just the Way You Are,Bruno Mars,True,2011,15.0
7,Love Story,Taylor Swift,True,2008,81.0
8,Love Story,Taylor Swift,True,2009,5.0
9,Party In The U.S.A.,Miley Cyrus,True,2009,29.0
10,Party In The U.S.A.,Miley Cyrus,True,2010,67.0
11,Since U Been Gone,Kelly Clarkson,False,,
12,Shallow,Lady Gaga,False,,
13,I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,True,1987,4.0
14,I Want You Back,The Jackson 5,False,,
15,Summer Nights - From “Grease”,John Travolta,False,,
16,Don't Go Breaking My Heart,Elton John,False,,
17,Total Eclipse of the Heart,Bonnie Tyler,True,1983,6.0
18,Bye Bye Bye,*NSYNC,False,,
19,Girls Just Want to Have Fun,Cyndi Lauper,True,1984,15.0
20,Africa,TOTO,True,1983,24.0
21,You're The One That I Want - From “Grease”,John Travolta,False,,
22,Come On Eileen,Dexys Midnight Runners,False,,
23,Someone Like You,Adele,True,2011,24.0
24,Someone Like You,Adele,True,2012,43.0
25,Dancing Queen,ABBA,True,1977,12.0
26,Mamma Mia,ABBA,False,,
27,A Thousand Miles,Vanessa Carlton,False,,
28,My Boo,USHER,False,,
29,Oops!...I Did It Again,Britney Spears,False,,
30,...Baby One More Time,Britney Spears,False,,
31,Lucky,Jason Mraz,False,,
32,The Boy Is Mine,Brandy,False,,
33,Before He Cheats,Carrie Underwood,True,2007,6.0
34,Bleeding Love,Leona Lewis,True,2008,2.0
35,Say My Name,Destiny's Child,False,,
36,Baby Got Back,Sir Mix-A-Lot,False,,
37,Wonderwall - Remastered,Oasis,False,,
38,Bohemian Rhapsody - Remastered 2011,Queen,False,,
39,Firework,Katy Perry,True,2011,3.0
40,What Makes You Beautiful,One Direction,True,2012,10.0
41,You Oughta Know - 2015 Remaster,Alanis Morissette,False,,
42,Rehab,Amy Winehouse,True,2007,74.0
43,Like a Virgin,Madonna,True,1985,2.0
44,It's All Coming Back to Me Now,Céline Dion,False,,
45,Where Is The Love?,Black Eyed Peas,False,,
46,Poker Face,Lady Gaga,True,2009,2.0
47,Single Ladies (Put a Ring on It),Beyoncé,False,,
