,name,artists,times_on_billboard,best_billboard_rank
0,...Baby One More Time,Britney Spears,0,
1,A Thousand Miles,Vanessa Carlton,0,
2,Africa,TOTO,1,24.0
3,Baby Got Back,Sir Mix-A-Lot,0,
4,Before He Cheats,Carrie Underwood,1,6.0
5,Bleeding Love,Leona Lewis,1,2.0
6,Bohemian Rhapsody - Remastered 2011,Queen,0,
7,Bye Bye Bye,*NSYNC,0,
8,Come On Eileen,Dexys Midnight Runners,0,
9,Dancing Queen,ABBA,1,12.0
10,Don't Go Breaking My Heart,Elton John,0,
11,Firework,Katy Perry,1,3.0
12,Girls Just Want to Have Fun,Cyndi Lauper,1,15.0
13,I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,1,4.0
14,I Want It That Way,Backstreet Boys,0,
15,I Want You Back,The Jackson 5,0,
16,It's All Coming Back to Me Now,Céline Dion,0,
17,Just the Way You Are,Bruno Mars,2,15.0
18,Like a Virgin,Madonna,1,2.0
19,Livin' On A Prayer,Bon Jovi,1,10.0
20,Love Story,Taylor Swift,2,5.0
21,Lucky,Jason Mraz,0,
22,Mamma Mia,ABBA,0,
23,Mr. Brightside,The Killers,0,
24,My Boo,USHER,0,
25,Oops!...I Did It Again,Britney Spears,0,
26,Party In The U.S.A.,Miley Cyrus,2,29.0
27,Poker Face,Lady Gaga,1,2.0
28,Rehab,Amy Winehouse,1,74.0
29,Say My Name,Destiny's Child,0,
30,Shallow,Lady Gaga,0,
31,Since U Been Gone,Kelly Clarkson,0,
32,Single Ladies (Put a Ring on It),Beyoncé,0,
33,Someone Like You,Adele,2,24.0
34,Summer Nights - From “Grease”,John Travolta,0,
35,The Boy Is Mine,Brandy,0,
36,Total Eclipse of the Heart,Bonnie Tyler,1,6.0
37,Umbrella,Rihanna,0,
38,Wannabe,Spice Girls,0,
39,What Makes You Beautiful,One Direction,1,10.0
40,Where Is The Love?,Black Eyed Peas,0,
41,Wonderwall - Remastered,Oasis,0,
42,You Oughta Know - 2015 Remaster,Alanis Morissette,0,
43,You're The One That I Want - From “Grease”,John Travolta,0,
